,OrderId,CustomerId,Subscription,PaidDate,Total,Churn
237,1246,1104,1,2020-02-05,59.0,0
238,1245,1082,1,2020-02-05,59.0,0
239,1223,1082,1,2020-01-05,49.0,0
240,1244,1103,1,2020-02-05,118.0,0
241,1243,1102,1,2020-02-05,59.0,0
242,1242,1101,1,2020-02-05,49.0,0
243,1238,998,1,2020-02-05,49.0,0
244,1139,998,1,2020-04-27,59.0,0
245,1237,1099,1,2020-02-05,59.0,0
246,1236,1096,1,2020-02-05,118.0,0
247,1234,1094,1,2020-02-05,59.0,0
248,1233,1093,1,2020-02-05,49.0,0
249,1232,1092,1,2020-02-05,49.0,0
250,1231,1091,1,2020-02-05,59.0,0
251,1230,1090,1,2020-02-05,59.0,0
252,1229,1088,1,2020-01-05,118.0,0
253,1228,1087,1,2020-01-05,49.0,0
254,1227,1086,0,2020-01-05,59.0,1
255,1226,1085,1,2020-01-05,98.0,0
256,1225,1084,0,2020-01-05,118.0,0
257,1224,1083,1,2020-01-05,59.0,0
258,1222,1081,1,2020-01-05,98.0,0
259,1217,1077,1,2020-04-30,98.0,0
260,1216,1076,1,2020-04-30,59.0,0
261,1215,1007,1,2020-04-30,98.0,0
262,1146,1007,1,2020-04-27,49.0,0
263,1214,1075,1,2020-04-30,69.0,0
264,1213,1074,0,2020-04-30,118.0,1
265,1212,1073,1,2020-04-30,79.0,0
266,1211,1072,1,2020-04-30,118.0,0
267,1210,1071,1,2020-04-30,59.0,0
268,1209,1070,1,2020-04-30,59.0,0
269,1208,1069,1,2020-04-30,49.0,0
270,1207,1068,1,2020-04-30,98.0,0
271,1206,1067,1,2020-04-30,98.0,0
272,1205,1066,1,2020-04-30,59.0,0
273,1204,1064,1,2020-04-30,59.0,0
274,1203,1063,1,2020-04-30,118.0,0
275,1202,1062,1,2020-04-30,59.0,0
276,1201,1061,1,2020-04-30,49.0,0
277,1200,1060,1,2020-04-30,98.0,0
278,1198,1059,1,2020-04-30,69.0,0
279,1197,1057,1,2020-04-30,98.0,0
280,1196,1056,1,2020-04-30,59.0,0
281,1195,297,1,2020-04-30,59.0,0
282,1194,1055,1,2020-04-30,49.0,0
283,1190,1051,1,2020-04-29,59.0,0
284,1189,1050,1,2020-04-29,59.0,0
285,1188,1049,1,2020-04-29,59.0,0
286,1187,1048,1,2020-04-29,59.0,0
287,1186,1047,1,2020-04-29,54.0,0
288,1185,1046,1,2020-04-29,59.0,0
289,1184,1045,1,2020-04-29,98.0,0
290,1183,1044,1,2020-04-29,59.0,0
291,1182,1042,1,2020-04-29,69.0,0
292,1180,1040,1,2020-04-29,59.0,0
293,1179,1038,1,2020-04-29,59.0,0
294,1178,1037,1,2020-04-29,59.0,0
295,1177,1036,1,2020-04-29,49.0,0
296,1175,1035,1,2020-04-29,59.0,0
297,1174,1034,1,2020-04-29,59.0,0
298,1173,1033,1,2020-04-29,79.0,0
299,1172,1032,1,2020-04-29,49.0,0
300,1171,1031,1,2020-04-29,49.0,0
301,1170,1030,1,2020-04-29,59.0,0
302,1169,1029,1,2020-04-29,59.0,1
303,1168,1027,1,2020-04-28,59.0,0
304,1167,1026,1,2020-04-28,59.0,0
305,1166,1025,1,2020-04-28,79.0,0
306,1165,1024,1,2020-04-28,98.0,0
307,1164,1023,1,2020-04-28,59.0,0
308,1163,1022,1,2020-04-28,59.0,0
309,1161,946,1,2020-04-28,98.0,0
310,1160,1020,1,2020-04-28,98.0,0
311,1159,1019,1,2020-04-28,59.0,0
312,1158,734,1,2020-04-28,69.0,0
313,836,734,1,2020-10-04,69.0,0
314,1156,1017,1,2020-04-28,59.0,0
315,1155,1016,0,2020-04-28,49.0,1
316,1154,1015,1,2020-04-28,59.0,0
317,1153,1014,1,2020-04-28,59.0,0
318,1152,1013,1,2020-04-27,59.0,0
319,1151,1012,0,2020-04-27,59.0,1
320,1150,1011,1,2020-04-27,59.0,0
321,1149,1010,1,2020-04-27,69.0,0
322,1148,1009,1,2020-04-27,69.0,0
323,1147,1008,1,2020-04-27,98.0,0
324,1145,1005,1,2020-04-27,49.0,0
325,1144,1004,1,2020-04-27,98.0,0
326,1143,1002,1,2020-04-27,98.0,0
327,1142,1001,1,2020-04-27,69.0,0
328,1141,1000,1,2020-04-27,98.0,0
329,1140,999,1,2020-04-27,49.0,0
330,1137,996,1,2020-04-26,79.0,0
331,1136,995,1,2020-04-26,79.0,0
332,1134,145,1,2020-04-26,79.0,0
333,266,145,1,2020-01-13,69.0,0
334,1133,994,1,2020-04-26,79.0,0
335,1132,993,1,2020-04-26,79.0,0
336,1131,992,1,2020-04-26,79.0,0
337,1099,990,1,2020-04-25,108.0,0
338,1098,972,1,2020-04-25,59.0,0
339,1097,932,1,2020-04-25,49.0,0
340,1041,932,1,2020-04-21,49.0,0
341,1096,989,1,2020-04-25,69.0,0
342,1094,987,0,2020-04-25,158.0,0
343,1093,729,1,2020-04-25,49.0,1
344,1091,986,1,2020-04-25,118.0,0
345,1074,984,1,2020-04-24,59.0,0
346,1073,983,1,2020-04-24,118.0,0
347,1072,982,0,2020-04-24,103.0,0
348,1071,971,1,2020-04-24,118.0,0
349,1070,981,1,2020-04-24,69.0,0
350,1069,980,1,2020-04-24,79.0,0
351,1068,979,1,2020-04-24,79.0,0
352,1067,978,1,2020-04-24,118.0,0
353,1066,973,1,2020-04-24,79.0,0
354,1065,970,1,2020-04-24,59.0,0
355,1064,976,1,2020-04-24,118.0,0
356,1062,966,1,2020-04-23,59.0,0
357,1059,963,1,2020-04-22,59.0,0
358,1058,962,1,2020-04-22,98.0,0
359,1056,960,1,2020-04-22,98.0,0
360,1055,959,1,2020-04-22,59.0,0
361,1054,958,1,2020-04-22,138.0,0
362,1052,956,1,2020-04-22,69.0,0
363,1051,954,1,2020-04-22,49.0,0
364,1050,953,1,2020-04-21,49.0,0
365,1049,952,1,2020-04-21,69.0,0
366,1048,951,1,2020-04-21,98.0,0
367,1047,950,1,2020-04-21,49.0,0
368,1046,949,1,2020-04-21,49.0,0
369,1045,945,1,2020-04-21,49.0,0
370,1044,945,1,2020-04-21,49.0,0
371,1043,943,1,2020-04-21,49.0,0
372,1042,942,1,2020-04-21,98.0,0
373,1040,941,1,2020-04-21,54.0,0
374,1039,940,1,2020-04-21,49.0,0
375,1038,939,1,2020-04-21,49.0,0
376,1037,938,0,2020-04-21,49.0,1
377,1036,43,1,2020-04-21,98.0,0
378,161,43,1,2019-10-29,130.0,0
379,1035,936,1,2020-04-21,49.0,0
380,1033,935,0,2020-04-21,118.0,1
381,1031,933,1,2020-04-21,49.0,0
382,1030,931,1,2020-04-21,49.0,0
383,1029,930,1,2020-04-21,49.0,0
384,1028,929,1,2020-04-21,74.0,0
385,1027,900,1,2020-04-21,49.0,0
386,1026,928,1,2020-04-20,49.0,0
387,1025,927,1,2020-04-20,69.0,0
388,1023,926,1,2020-04-20,118.0,0
389,1022,925,1,2020-04-20,98.0,0
390,1021,924,1,2020-04-20,49.0,0
391,1020,923,1,2020-04-20,49.0,0
392,1018,920,1,2020-04-20,49.0,0
393,1017,919,1,2020-04-20,49.0,0
394,1016,918,1,2020-04-20,49.0,0
395,1014,916,1,2020-04-20,49.0,0
396,1013,915,1,2020-04-20,49.0,0
397,1012,914,1,2020-04-20,69.0,0
398,1011,913,1,2020-04-20,49.0,0
399,1010,879,0,2020-04-20,49.0,0
400,1009,912,1,2020-04-20,49.0,0
401,1008,911,1,2020-04-20,49.0,0
402,1006,906,1,2020-04-19,49.0,0
403,1005,906,1,2020-04-19,49.0,0
404,1002,908,1,2020-04-19,69.0,0
405,1000,904,1,2020-04-19,49.0,0
406,999,903,1,2020-04-19,49.0,0
407,998,902,1,2020-04-19,54.0,0
408,996,899,1,2020-04-19,49.0,0
409,995,897,1,2020-04-19,54.0,0
410,994,896,1,2020-04-19,49.0,0
411,993,895,1,2020-04-18,49.0,0
412,992,894,1,2020-04-18,69.0,0
413,991,893,1,2020-04-18,59.0,0
414,990,892,1,2020-04-18,98.0,0
415,989,890,1,2020-04-18,49.0,0
416,988,889,1,2020-04-18,69.0,0
417,987,888,1,2020-04-18,98.0,0
418,986,887,1,2020-04-18,69.0,0
419,985,886,1,2020-04-18,49.0,0
420,984,885,1,2020-04-18,54.0,0
421,983,884,1,2020-04-18,49.0,0
422,982,883,1,2020-04-18,98.0,0
423,981,882,1,2020-04-18,49.0,0
424,979,880,1,2020-04-18,49.0,0
425,978,877,1,2020-04-18,98.0,0
426,977,876,1,2020-04-18,49.0,0
427,976,875,1,2020-04-18,49.0,0
428,974,873,1,2020-04-18,49.0,0
429,973,872,1,2020-04-18,49.0,0
430,972,871,1,2020-04-18,54.0,0
431,970,869,1,2020-04-18,74.0,0
432,969,868,1,2020-04-18,69.0,0
433,968,867,1,2020-04-17,49.0,0
434,966,865,1,2020-04-17,49.0,0
435,965,864,1,2020-04-17,49.0,0
436,964,863,1,2020-04-17,49.0,0
437,963,862,1,2020-04-17,49.0,0
438,962,861,1,2020-04-17,69.0,1
439,961,860,1,2020-04-17,79.0,0
440,959,858,1,2020-04-17,49.0,0
441,958,856,1,2020-04-17,49.0,0
442,957,855,1,2020-04-16,69.0,0
443,956,853,1,2020-04-16,69.0,0
444,955,852,1,2020-04-16,49.0,0
445,954,851,1,2020-04-16,118.0,0
446,952,849,1,2020-04-16,74.0,0
447,950,847,1,2020-04-16,138.0,0
448,949,846,1,2020-04-16,49.0,0
449,948,845,1,2020-04-16,49.0,0
450,945,842,1,2020-04-16,49.0,0
451,944,841,1,2020-04-16,49.0,0
452,943,839,1,2020-04-16,49.0,0
453,942,838,1,2020-04-16,49.0,0
454,941,837,1,2020-04-16,49.0,0
455,939,835,1,2020-04-16,69.0,0
456,938,834,1,2020-04-16,49.0,0
457,937,832,1,2020-04-15,118.0,0
458,936,831,1,2020-04-15,49.0,0
459,935,830,1,2020-04-15,49.0,0
460,934,829,1,2020-04-15,69.0,0
461,933,828,1,2020-04-15,49.0,0
462,932,827,1,2020-04-15,49.0,0
463,931,826,1,2020-04-15,49.0,0
464,930,825,1,2020-04-15,54.0,0
465,929,824,1,2020-04-15,49.0,0
466,928,823,1,2020-04-15,49.0,0
467,926,822,1,2020-04-15,49.0,0
468,925,821,1,2020-04-15,49.0,1
469,924,820,1,2020-04-15,49.0,0
470,923,819,1,2020-04-15,49.0,0
471,921,809,1,2020-04-15,49.0,0
472,920,809,1,2020-04-15,49.0,0
473,919,817,1,2020-04-15,54.0,0
474,918,816,1,2020-04-15,69.0,0
475,917,815,1,2020-04-15,69.0,0
476,916,814,1,2020-04-15,49.0,0
477,915,813,1,2020-04-15,49.0,0
478,914,812,1,2020-04-15,69.0,0
479,913,811,1,2020-04-15,69.0,0
480,911,810,1,2020-04-14,74.0,0
481,910,808,1,2020-04-14,69.0,0
482,908,806,1,2020-04-14,49.0,0
483,907,789,1,2020-04-14,49.0,1
484,905,804,1,2020-04-14,69.0,0
485,903,803,1,2020-04-14,49.0,0
486,900,798,1,2020-04-14,49.0,0
487,899,795,1,2020-04-13,49.0,0
488,897,791,1,2020-04-13,69.0,0
489,896,792,1,2020-04-13,49.0,0
490,895,790,1,2020-04-13,49.0,1
491,894,785,1,2020-04-13,49.0,0
492,893,788,1,2020-04-13,49.0,0
493,889,786,1,2020-04-13,59.0,0
494,888,714,1,2020-04-13,49.0,1
495,886,783,1,2020-04-13,49.0,0
496,885,782,1,2020-04-13,49.0,0
497,884,781,1,2020-04-13,49.0,0
498,882,780,1,2020-12-04,49.0,0
499,881,779,1,2020-12-04,49.0,0
500,880,778,1,2020-12-04,49.0,0
501,879,777,1,2020-12-04,49.0,0
502,878,776,1,2020-12-04,49.0,0
503,877,775,1,2020-12-04,49.0,0
504,876,775,1,2020-12-04,49.0,0
505,875,774,1,2020-12-04,49.0,0
506,874,773,1,2020-12-04,49.0,0
507,873,772,1,2020-12-04,49.0,0
508,872,768,1,2020-12-04,49.0,0
509,871,771,1,2020-12-04,49.0,0
510,870,769,1,2020-12-04,49.0,0
511,869,767,1,2020-12-04,49.0,0
512,868,766,1,2020-12-04,49.0,0
513,867,765,1,2020-12-04,49.0,0
514,866,764,1,2020-12-04,49.0,0
515,864,763,1,2020-12-04,49.0,0
516,863,762,1,2020-12-04,54.0,0
517,861,761,1,2020-11-04,49.0,0
518,860,760,1,2020-11-04,49.0,0
519,859,759,1,2020-11-04,49.0,0
520,858,758,1,2020-11-04,49.0,0
521,857,757,0,2020-11-04,49.0,0
522,856,756,1,2020-11-04,49.0,0
523,855,755,1,2020-11-04,49.0,0
524,854,745,1,2020-11-04,49.0,0
525,853,745,1,2020-11-04,49.0,0
526,852,753,1,2020-11-04,59.0,0
527,851,751,1,2020-11-04,49.0,0
528,850,750,1,2020-11-04,118.0,0
529,849,749,1,2020-11-04,49.0,0
530,848,746,1,2020-11-04,69.0,0
531,846,746,1,2020-11-04,69.0,0
532,847,747,1,2020-11-04,138.0,0
533,845,744,1,2020-11-04,49.0,0
534,844,743,1,2020-11-04,49.0,0
535,843,742,1,2020-11-04,69.0,0
536,842,741,1,2020-11-04,69.0,0
537,841,740,1,2020-11-04,49.0,0
538,840,738,1,2020-10-04,49.0,0
539,839,737,1,2020-10-04,49.0,0
540,838,736,1,2020-10-04,49.0,0
541,837,735,1,2020-10-04,49.0,0
542,834,733,1,2020-10-04,49.0,0
543,833,731,1,2020-10-04,49.0,0
544,832,730,1,2020-10-04,69.0,0
545,831,727,1,2020-10-04,49.0,0
546,830,726,1,2020-10-04,49.0,0
547,829,725,1,2020-10-04,49.0,0
548,828,723,1,2020-10-04,49.0,0
549,827,722,1,2020-09-04,49.0,0
550,826,719,1,2020-09-04,49.0,0
551,825,718,1,2020-09-04,49.0,0
552,824,717,1,2020-09-04,49.0,0
553,823,715,1,2020-09-04,49.0,0
554,821,713,1,2020-09-04,138.0,0
555,820,712,1,2020-09-04,49.0,0
556,819,711,1,2020-09-04,49.0,0
557,816,639,1,2020-08-04,49.0,0
558,746,639,0,2020-04-04,79.0,0
559,815,704,1,2020-08-04,49.0,0
560,812,701,1,2020-08-04,49.0,0
561,811,700,1,2020-08-04,54.0,0
562,809,698,1,2020-08-04,49.0,0
563,808,697,1,2020-08-04,118.0,0
564,803,694,1,2020-07-04,49.0,0
565,802,692,1,2020-07-04,49.0,0
566,800,691,1,2020-07-04,49.0,0
567,799,690,1,2020-07-04,49.0,0
568,798,689,1,2020-07-04,49.0,0
569,797,688,1,2020-07-04,49.0,0
570,796,687,1,2020-07-04,49.0,0
571,793,684,1,2020-07-04,49.0,0
572,792,683,1,2020-07-04,49.0,0
573,791,682,1,2020-07-04,49.0,0
574,790,682,1,2020-07-04,49.0,0
575,789,681,1,2020-07-04,49.0,0
576,788,680,1,2020-07-04,49.0,0
577,785,678,1,2020-06-04,69.0,0
578,784,677,1,2020-06-04,49.0,0
579,783,676,1,2020-06-04,49.0,0
580,780,672,1,2020-06-04,49.0,0
581,779,671,1,2020-06-04,49.0,0
582,776,669,1,2020-06-04,69.0,0
583,775,668,1,2020-06-04,49.0,0
584,773,660,1,2020-06-04,49.0,0
585,772,664,1,2020-05-04,49.0,0
586,771,665,1,2020-05-04,49.0,0
587,770,662,1,2020-05-04,49.0,0
588,769,661,1,2020-05-04,49.0,0
589,767,659,1,2020-05-04,49.0,0
590,766,658,1,2020-05-04,49.0,0
591,765,657,1,2020-05-04,49.0,0
592,764,656,1,2020-05-04,69.0,0
593,763,655,1,2020-05-04,49.0,0
594,762,653,1,2020-05-04,49.0,0
595,761,649,1,2020-05-04,49.0,0
596,757,649,1,2020-05-04,49.0,0
597,760,652,1,2020-05-04,54.0,0
598,759,651,1,2020-05-04,49.0,0
599,758,650,1,2020-05-04,118.0,0
600,756,648,1,2020-05-04,49.0,0
601,755,647,1,2020-05-04,49.0,0
602,752,645,1,2020-04-04,69.0,0
603,750,644,1,2020-04-04,69.0,0
604,749,643,1,2020-04-04,69.0,0
605,748,641,1,2020-04-04,49.0,0
606,747,640,1,2020-04-04,69.0,0
607,745,636,1,2020-04-04,69.0,0
608,744,635,1,2020-04-04,55.2,0
609,743,632,1,2020-03-04,69.0,0
610,741,630,1,2020-03-04,69.0,0
611,740,629,1,2020-03-04,69.0,1
612,739,628,1,2020-03-04,138.0,0
613,737,626,1,2020-02-04,69.0,0
614,736,621,1,2020-02-04,69.0,0
615,735,625,1,2020-02-04,55.2,0
616,734,624,1,2020-02-04,55.2,0
617,732,619,1,2020-02-04,55.2,0
618,731,618,1,2020-02-04,74.0,0
619,730,35,1,2020-02-04,49.0,0
620,729,616,1,2020-02-04,69.0,0
621,728,615,1,2020-02-04,69.0,0
622,726,614,1,2020-02-04,55.2,0
623,725,612,1,2020-01-04,55.2,0
624,724,611,1,2020-01-04,69.0,0
625,723,610,1,2020-01-04,74.0,0
626,722,609,1,2020-01-04,69.0,0
627,721,608,1,2020-01-04,69.0,0
628,720,592,1,2020-01-04,55.2,0
