order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
58ee11026c2fdda6ff738c392cc5fb00,1,ba85af910c6f4624929eaf3879d72321,59b22a78efb79a4797979612b885db36,2017-08-09 03:04:56,59.0,15.16
e13d1b8079da63aa71fa8ad68b3c3586,1,a4d44eb9f68b301db3a15c9a346f395c,bfd27a966d91cfaafdb25d076585f0da,2017-06-12 10:55:12,229.0,16.35
0438fc3e115633e11a93c878a1591016,1,afeeea6271148ee1bb15173b8187c431,53243585a1d6dc2643021fd1853d8905,2018-08-17 10:10:18,249.0,15.22
51cab0235fdd0e37f744024696d8e66a,1,e1834e5158e392bab21d691ac7b4eccd,d17f467e4bf608a510c20d82f4ba3b6b,2018-08-02 10:30:15,415.17,98.94
c7820995dbe03c41044d23a03179a74e,1,332795c0c3303ebda469c7945fe1a1a7,9d4db00d65d7760644ac0c14edb5fd86,2018-05-11 10:31:15,89.88,9.54
6c3135486d8821b2877a0f8d92095a6d,1,d2686065b870834cc92605a5b9ec84ba,2138ccb85b11a4ec1e37afbd1c8eda1f,2017-02-17 21:18:03,18.99,17.78
a5f8439f1e560659a492608e370ecde2,1,ea9b0b855335919945731f9368f83dc9,c731d18cea9bf687ffee82a241c25b11,2017-06-01 14:15:16,193.0,39.19
f7efe4b422fd5a4d6415687184ce9059,1,f7a17d2c51d9df89a4f1711c4ac17f33,f8db351d8c4c4c22c6835c19a46f01b0,2017-06-15 13:45:16,50.9,15.11
84e0fd31977e457ca804a61921bc5c59,1,7a7be236d8368315680071df4209dd4e,b14db04aa7881970e83ffa9426897925,2017-07-13 09:03:20,49.0,12.48
45d415631ccea18d79bed1ea8088b58c,1,112e1856649c6762c1ca6058d07f2633,440dd6ab244315c632130ecfb63827b1,2017-11-28 22:53:28,99.9,18.27
